id,source,created_at,preprocessed_text,sentimen,skor_sentimen
1,x,2025-06-16,gusy mending sunscreen omg apa amaterasun buat st normal to dry,neutral,9.872.176.051.139.830
10,x,2025-06-15,wts physical sunscreen amaterasun pakai sekali aja k,neutral,9.878.751.635.551.450
15,x,2025-06-14,amaterasun uv sunscreen serum spf pa melindungj rusa dna kulit papar sinar uva uvb ampbluelight infrared lindung polusi radikal bebas untuk kulit berminyakteksturnya cairamptidak lengket cek sini,positive,8.015.522.956.848.140
18,x,2025-06-14,amaterasun cb kak yg physical sunscreen,neutral,9.640.366.435.050.960
20,x,2025-06-13,saranin sunscreen bisa nahan minyak ga longsor olahraga outdoor dong guysss udh pake amaterasun physical ga cocok huhu padahal nahan minyak bgt,negative,6.842.776.536.941.520
21,x,2025-06-13,physical sunscreen nya amaterasun finishnya matte ada sedikit tone up tone up nya dikit bgt ga bikin abu,positive,9.860.004.782.676.690
22,x,2025-06-13,amaterasun serum sunscreen biru normal oily matte bgt skin aqua yg gel ijo the aubree hanasui spf you intensive care ss anessa,positive,5.470.855.832.099.910
24,x,2025-06-12,kak minta linknya sunscreen amaterasun serum,neutral,9.861.658.811.569.210
25,x,2025-06-12,dah paling bener lokal aja yak hari buat aktivitas pake spf aja murmer gapapa kalo mau manta olahraga panaspanasan pake spf amaterasun physical sunscreen oke emina punya barier hydraburst kalo mau ringan pake labore,positive,9.157.649.874.687.190
28,x,2025-06-12,serum amaterasun sunscreen nya exp kapan kak,neutral,9.951.918.125.152.580
29,x,2025-06-12,amaterasun physical sunscreen uji aman pas keringetan gobyos,positive,782.323.956.489.563
32,x,2025-06-12,amaterasun yg physical sunscreen,positive,9.930.451.512.336.730
33,x,2025-06-12,sunscreen amaterasun baik sih utk normal to oily skin,positive,5.707.290.172.576.900
39,x,2025-06-11,sunscreen amaterasun isi pcs cara potong koin di pinned zonauang,neutral,9.961.095.452.308.650
40,x,2025-06-11,rekomendasi lip balm cocok kulit gelap amaterasun spf pa sunscreen buat bibir biar lindung matahari melembabin bibir banget buat bibir kering tekstur ringan gak berat bibir cocok dipake daily hari,positive,9.773.134.589.195.250
43,x,2025-06-11,jauh ada turut bagus shiseido perfect sun protector lotion moell physical sunscreen sama amaterasun physical sunscreen,positive,631.405.770.778.656
44,x,2025-06-11,moist pake cosrx skin trs sunscreen nya amaterasun ak pake basic skincare aja diselingin sheetmask x bulan kl rajin exfo pake yg volcano minggu x kl rajin bgt soal suka males,positive,5.524.037.480.354.300
45,x,2025-06-11,jajan yuuk persunscreen perhair careannya sunscreen cosrx erha amaterasun garnier klairs labore haircare,neutral,7.150.442.004.203.790
51,x,2025-06-11,gue sih sunscreen amaterasun mantep,positive,994.123.876.094.818
52,x,2025-06-11,new segel kak sunscreen cosrx erha amaterasun garnier klairs labore,neutral,7.941.509.485.244.750
56,x,2025-06-10,sunscreen amaterasun salah satu wishlist aku jg,positive,5.994.700.789.451.590
58,x,2025-06-10,toneressence jumiso snail serum trueve vit c avoskin marine collagen skin poremizing moist skintific skingame laroche posay sunscreen loreal skin amaterasun gantung ada kulit sih,positive,8.922.405.242.919.920
59,x,2025-06-10,aku lagu cobain sunscreen amaterasun yg ijo tp buat review mungkin cobain nder,neutral,9.638.640.284.538.260
66,x,2025-06-09,sunscreen amaterasun azarine nya baru kaa co oren,neutral,988.733.172.416.687
76,x,2025-06-08,wtb tinted sunscreen tavi adaptint amaterasun zonauang zonajajan,neutral,9.738.695.025.444.030
77,x,2025-06-08,pakai sunscreen meski aktititas dalam ruang pake sunscreen penting loh nahh buat kalian tipkul sama kaya aku oilykombinasi aku pake sunscreen amaterasun ijo spf,positive,5.104.172.825.813.290
78,x,2025-06-07,sunscreen sama sama amaterasun,positive,703.890.860.080.719
79,x,2025-06-07,buat kulit sensitif nih mending physical sunscreen punya amaterasun labore,positive,9.897.887.110.710.140
82,x,2025-06-07,aku bukan ciwi lama paling cocok pakai somethinc sama finally found you toner ffy serum smtnc moisturizer smtnc sunscreen amaterasunsmtnckahf,positive,9.148.715.138.435.360
84,x,2025-06-07,aku new ss sunscreen amaterasun cream ungu k dom bogor,neutral,988.087.832.927.704
85,x,2025-06-07,new ss sunscreen amaterasun cream ungu k dom bogor,neutral,9.898.399.114.608.760
86,x,2025-06-06,physical sunscreen nya amaterasun buat combi to oily skin bagus nggaaa,neutral,9.446.309.208.869.930
87,x,2025-06-06,mauu sunscreen amaterasun co skrg guys,neutral,957.955.002.784.729
89,x,2025-06-06,sunscreen yg enak buat oily skin mending unitary or amaterasun,neutral,9.357.898.235.321.040
90,x,2025-06-06,amaterasun buat physical sunscreen ukur ml,neutral,9.960.913.062.095.640
91,x,2025-06-06,aku ini new wts ss sunscreen amaterasun cream k dom bogor,neutral,990.193.009.376.526
93,x,2025-06-05,aku amaterasun yg uv sunscreen cream spf k ajaa,neutral,9.928.067.922.592.160
95,x,2025-06-05,pen coba deh blm sempet coba sunscreen amaterasun,neutral,9.436.074.495.315.550
100,x,2025-06-05,amaterasun sunscreen bikin putih ga bikin abu abu monyet harus banget aku pake tiap hari,positive,7.487.820.386.886.590
102,x,2025-06-05,amaterasun sunscreen bikin putih ga bikin abu abu monyet aman banget buat kulit kering kaya kulit,positive,8.474.958.539.009.090
107,x,2025-06-05,cowo harus memprotek kulit dong makanya pake amaterasun sunscreen bikin putih,positive,886.003.851.890.564
109,x,2025-06-05,jangan ngaku cowo keren kalo blom pake amaterasun sunscreen bikin putih ga bikin abu monyet,positive,739.446.759.223.938
110,x,2025-06-05,balita sampe tua cewe sampe cowo sunscreen bnaget dipake yaph amaterasun sunscreen bikin putih,positive,624.942.421.913.147
112,x,2025-06-05,bikin cantik putih lindung kulit amaterasun sunscreen bikin putih ga bikin abu abu monyet,positive,6.749.167.442.321.770
114,x,2025-06-05,amaterasun sunscreen bikin putih nyaman banget aku pake daily memprotek kulit ruang ac kantor,positive,5.793.085.098.266.600
115,x,2025-06-05,physical sunscreen amaterasun meski kandung spfnya cukup tinggi spf pa aman banget kulit ga bikin makin breakout ini juga aman pakai bayi mulai usia tahun,positive,9.806.644.916.534.420
116,x,2025-06-05,gua dlu suka ganti ganti sunscreen karna g nemu yg pas tp akhir saranin tmn pke amaterasun sunscreen bikin putih bnrn bikin kulit jd lbih cerah,positive,5.883.691.310.882.560
117,x,2025-06-05,semenjak nemu amaterasun sunscreen bikin putih jd g bingung lg milih sunscreen yg cerahin kulit,positive,5.142.284.035.682.670
118,x,2025-06-05,aku dlu bingung bgt milih sunscreen smpe akhir aku nemu amaterasun sunscreen bikin putih gak bikin abu monyet suka bgt sm sunscreen ini,positive,913.070.797.920.227
