id,source,created_at,preprocessed_text,sentimen,skor_sentimen
1,x,2025-06-16,gusy mending sunscreen omg apa amaterasun buat st normal to dry,neutral,0.9872176051139832
10,x,2025-06-15,wts physical sunscreen amaterasun pakai sekali aja k,neutral,0.9878751635551452
15,x,2025-06-14,amaterasun uv sunscreen serum spf pa melindungj rusa dna kulit papar sinar uva uvb ampbluelight infrared lindung polusi radikal bebas untuk kulit berminyakteksturnya cairamptidak lengket cek sini,neutral,0.8015522956848145
18,x,2025-06-14,amaterasun cb kak yg physical sunscreen,neutral,0.9640366435050964
20,x,2025-06-13,saranin sunscreen bisa nahan minyak ga longsor olahraga outdoor dong guysss udh pake amaterasun physical ga cocok huhu padahal nahan minyak bgt,negative,0.6842776536941528
21,x,2025-06-13,physical sunscreen nya amaterasun finishnya matte ada sedikit tone up tone up nya dikit bgt ga bikin abu,positive,0.9860004782676696
22,x,2025-06-13,amaterasun serum sunscreen biru normal oily matte bgt skin aqua yg gel ijo the aubree hanasui spf you intensive care ss anessa,positive,0.5470855832099915
24,x,2025-06-12,kak minta linknya sunscreen amaterasun serum,neutral,0.9861658811569214
25,x,2025-06-12,dah paling bener lokal aja yak hari buat aktivitas pake spf aja murmer gapapa kalo mau manta olahraga panaspanasan pake spf amaterasun physical sunscreen oke emina punya barier hydraburst kalo mau ringan pake labore,positive,0.9157649874687196
28,x,2025-06-12,serum amaterasun sunscreen nya exp kapan kak,neutral,0.9951918125152588
29,x,2025-06-12,amaterasun physical sunscreen uji aman pas keringetan gobyos,neutral,0.782323956489563
32,x,2025-06-12,amaterasun yg physical sunscreen,neutral,0.9930451512336732
33,x,2025-06-12,sunscreen amaterasun baik sih utk normal to oily skin,positive,0.5707290172576904
39,x,2025-06-11,sunscreen amaterasun isi pcs cara potong koin di pinned zonauang,neutral,0.9961095452308656
40,x,2025-06-11,rekomendasi lip balm cocok kulit gelap amaterasun spf pa sunscreen buat bibir biar lindung matahari melembabin bibir banget buat bibir kering tekstur ringan gak berat bibir cocok dipake daily hari,positive,0.9773134589195251
43,x,2025-06-11,jauh ada turut bagus shiseido perfect sun protector lotion moell physical sunscreen sama amaterasun physical sunscreen,positive,0.631405770778656
