id,source,text,created_at
1,x,gusy mending sunscreen omg apa yang amaterasun ya buat st normal to dry,Mon Jun 16 03:20:32 +0000 2025
2,x,@yoenjaehyuk fw: hadalabo gokujyun (putih) / harlette moist: skintific biru / finally found you sunscreen: skin aqua (tutup putih) / facetology / amaterasun physical. obat jerawat: benzolac hijau. untuk pemula cari dulu basic skincare yang cocok ya. terus jerawatnya bisa pake,Mon Jun 16 01:24:07 +0000 2025
3,x,Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: AMATERASUN [REAL SPF Certified] Physical Sunscreen SPF 50+ PA++++ https://t.co/orQgEmqwPj https://t.co/vdbX0Q8ZIq,Sun Jun 15 17:27:30 +0000 2025
4,x,Haloooo aku maw preloved skincare pemakaian pribadiii karena egk cocok :3 niacinamide serum hanasui (20k) (-) 2x pemakaian (+) exp masih lama (+) box masih bagus sunscreen amaterasun all skin type (60k) (-) 3x pemakaian (-) tanpa box (+) exp masih lama boleh nego yaww &lt;3! https://t.co/nXljEzh70E,Sun Jun 15 12:16:36 +0000 2025
5,x,Gusyyyy mungkin ada yg pake sunscreen amaterasun aku preloved 20k baru dipake 1x Bisa via Dom Jatim https://t.co/XGuzintCpm,Sun Jun 15 11:31:34 +0000 2025
6,x,Cek AMATERASUN [REAL SPF Certified] [2 PCS] UV Sunscreen Cream Normal SPF 50+ PA++++ dengan harga Rp106.000. Dapatkan di Shopee sekarang! https://t.co/U3Tcmo7Ugp https://t.co/g4mpupi2D6,Sun Jun 15 09:17:38 +0000 2025
7,x,Cek AMATERASUN [REAL SPF Certified] [3 PCS] UV Sunscreen Cream Normal SPF 50+ PA++++ dengan harga Rp168.150. Dapatkan di Shopee sekarang! https://t.co/WLnL9WD6gx https://t.co/jz8xcMSKcU,Sun Jun 15 09:15:23 +0000 2025
8,x,Tawarin sunscreen amaterasun dong. Harga lebih murah dr official store yaa https://t.co/Ao8lqCsmM0,Sun Jun 15 07:15:28 +0000 2025
9,x,Cek AMATERASUN [REAL SPF Certified] UV Sunscreen Serum Combination &amp; Oily SPF 50+ PA++ dengan harga Rp59.000. Dapatkan di Shopee sekarang! https://t.co/Olc5PPef0Z https://t.co/WmNJEHwsJI,Sun Jun 15 07:13:06 +0000 2025
10,x,wts physical sunscreen amaterasun dipakai sekali aja 30k https://t.co/9GNFx3PtZf,Sun Jun 15 05:03:11 +0000 2025
11,x,Cek [NEW LAUNCH] [2 PCS ] Amaterasun Brightening Sunscreen SPF 50+ PA++++ - Tone Up Sunscreen dengan harga Rp133.000. Dapatkan di Shopee sekarang! https://t.co/nZ6YUixo81 https://t.co/W954krbllM,Sun Jun 15 02:03:06 +0000 2025
12,x,Cek [NEW LAUNCH] Amaterasun Brightening Sunscreen SPF 50+ PA++++ - TONE UP SUNSCREEN dengan harga Rp133.000. Dapatkan di Shopee sekarang! https://t.co/Q71WCQMZfH https://t.co/a09D02zJqu,Sun Jun 15 01:59:52 +0000 2025
13,x,@ohmy_beautybank Skincareku sekarang: Moisturizer : benton 300ml kalo nggasalah beli ±60k Sunscreen: Amaterasun 230ml bali pas diskon dapet 145k Exfo: fss udahh beli lamaa banget ngga abis2 kayaknya 150k-an,Sat Jun 14 23:17:54 +0000 2025
14,x,mau beli sunscreen mending coba wardah yang pink apa amaterasun yang baru itu ya?,Sat Jun 14 11:38:26 +0000 2025
15,x,AMATERASUN UV Sunscreen Serum SPF 50+ PA++++ untuk melindungj kerusakan DNA pada kulit dari paparan sinar UVA UVB &amp;bluelight infrared melindungi polusi radikal bebas dan untuk kulit yang berminyak.Teksturnya cair&amp;tidak lengket 4.9 Cek disini https://t.co/YUbmNRLUce https://t.co/5d1OH5xmr5,Sat Jun 14 09:15:40 +0000 2025
16,x,ada yg preloved tinted sunscreen amaterasun?,Sat Jun 14 05:41:33 +0000 2025
17,x,mending beli tinted ss amaterasun atau tavi adaptint? atau ada yg punya rekomendasi tinted sunscreen gaa?,Sat Jun 14 05:22:36 +0000 2025
18,x,@gororow @huftbosan Amaterasun cb kak yg physical sunscreen,Sat Jun 14 01:09:09 +0000 2025
19,x,@ohmy_beautybank Dari tahun kemarin udah ngurangin skincare aku pake fw hadalabo moist skingame/labore aku oily jadi pake dikit aja udah lembab (hemat) sunscreen pake amaterasun yang 200k-an itu (berdua sama suami) terus cuma pake eksfoliasi avo seminggu 2x sama serum yuja niacin sehari sekali,Fri Jun 13 11:10:14 +0000 2025
20,x,saranin sunscreen yang bisa nahan minyak dan ga longsor untuk olahraga outdoor dong guysss udh pake amaterasun physical ga cocok huhu padahal nahan minyak bgt,Fri Jun 13 07:23:37 +0000 2025
21,x,@greyffindor physical sunscreen nya amaterasun finishnya matte dan ada sedikit tone up. tone up nya dikit bgt dan ga bikin abu.,Fri Jun 13 05:55:59 +0000 2025
22,x,@cillbuu amaterasun serum sunscreen biru (normal - oily) ini matte bgt skin aqua yg gel ijo the aubree hanasui spf 50 you intensive care ss anessa,Fri Jun 13 04:33:55 +0000 2025
23,x,Please tawarin sunscreen amaterasun serum sertain linknya yah,Thu Jun 12 23:05:20 +0000 2025
24,x,@03git @peachiyyw Kak minta linknya yang sunscreen amaterasun serum,Thu Jun 12 23:04:08 +0000 2025
25,x,Dah paling bener lokal aja yak! Harian buat aktivitas pake yang spf 35 aja (yang murmer gapapa). Kalo mau mantai atau olahraga panas-panasan pake yang spf 50 (amaterasun physical sunscreen oke emina juga punya yang barier hydraburst kalo mau yang ringan pake labore).,Thu Jun 12 14:14:39 +0000 2025
26,x,Temukan AMATERASUN [REAL SPF CERTIFIED] UV WaterBarrier SPF 35 PA++++ - SUNSCREEN WUDHU FRIENDLY seharga Rp21.900. Dapatkan sekarang juga di Shopee! https://t.co/c6NnqRQOsg,Thu Jun 12 14:03:31 +0000 2025
27,x,Temukan AMATERASUN UV WaterBarrier Sunscreen SPF 35 PA++++ seharga Rp39.000. Dapatkan sekarang juga di Shopee! https://t.co/UgnNDEm2AV,Thu Jun 12 12:52:08 +0000 2025
28,x,@asdfghjklzxcYZ Serum amaterasun sunscreen nya exp kapan kak,Thu Jun 12 10:49:44 +0000 2025
29,x,@BAKEM0N0E amaterasun physical sunscreen teruji aman pas keringetan gobyos? https://t.co/TPVf3VBtYa,Thu Jun 12 10:29:51 +0000 2025
30,x,@Lycheebuatkamu boleh cek dulu aja ongkirnya kaa sunscreen ? cosrx https://t.co/qRAZDUgfXY ? erha https://t.co/ybqBbXKCmM ? amaterasun https://t.co/gWmX4BcKhz ? garnier https://t.co/TiKZD5FbAj ? klairs https://t.co/UNXzDgtAd1 ? labore https://t.co/UO7LV4Jfme,Thu Jun 12 08:54:10 +0000 2025
31,x,Buat sunscreen daily kalian prefer Wardah acne calming atau amaterasun? Lagi mikir nih mau nyoba salah satunya https://t.co/08iAnAgZQ2,Thu Jun 12 05:19:06 +0000 2025
32,x,@sanjiviensmoke amaterasun yg physical sunscreen,Thu Jun 12 04:56:42 +0000 2025
33,x,@ohmy_beautybank Sunscreen amaterasun terbaik sih utk normal to oily skin. https://t.co/rDqkpMIzXm,Thu Jun 12 04:12:27 +0000 2025
34,x,Cek AMATERASUN [REAL SPF Certified] [2 PCS] Combination UV Sunscreen Serum SPF 50+ PA++ dengan harga Rp114.400. Dapatkan di Shopee sekarang! https://t.co/VM9xU9JHkF https://t.co/d6178DM3VI,Thu Jun 12 04:01:08 +0000 2025
35,x,AMATERASUN REAL SPF Certified Sunscreen Bundle Mix. Sunscreen yang menurut aku yang paling gacor parah. pengalaman ku setelah pake ss ini kulit wajah jadi lebih ringan ga berminyak gabikin iritasi karna cocok disemua tipe kulit. Link co dimari: https://t.co/DVqP9dFg5H https://t.co/aMeHPdUqV7,Thu Jun 12 02:56:49 +0000 2025
36,x,@m0lenmini @ohmy_beautybank fw: g2g ungu toner : anua rice toner cuman aku lebih cocok sama dear klairs unscented moist : beauty of joseon red bean/skin1004 centella soothing cream ss : amaterasun sunscreen serum serum : skin1004 ampoule putih elformula peeling serum itu yaa,Thu Jun 12 01:45:20 +0000 2025
37,x,@wannabeeelvd halo aku ada amaterasun sunscreen serum kak sama base ultra matte sunscreen ada peeloved parasol sunscreen lotion sisa 80%an isi 100ml masi banyak bgt cuma 50k aja https://t.co/JiTy6nvj58,Wed Jun 11 23:38:19 +0000 2025
38,x,Want To Sell / WTS Amaterasun UV Sunscreen Cream 2 pieces. - 1 preloved (dipake baru 3x) - 1 masih segel Ori ya gess aku beli wkt itu yg bundle taunya malah ga cocok Kalau mau take langsung aku kasih harga 60k. Kalau mau take 1 yang segel 37k yang preloved 30k https://t.co/ivFRYj3fN9,Wed Jun 11 14:40:59 +0000 2025
39,x,sunscreen amaterasun isi 2 pcs https://t.co/MCPZRolDCM cara potong koin ada di pinned zonauang https://t.co/lSz3QWJCxL,Wed Jun 11 14:12:16 +0000 2025
40,x,REKOMENDASI LIP BALM Cocok untuk kulit gelap Amaterasun https://t.co/YHcVdFJuBv Ada SPF 20 PA+++ Sunscreen buat bibir biar melindungi dari matahari Melembabin bibir banget buat bibir kering Tekstur ringan gak berat di bibir Cocok dipake daily sehari2 https://t.co/WFdaC4B279,Wed Jun 11 12:24:48 +0000 2025
41,x,@ohmy_beautybank Aku skintype oily sangat ngerekomendasiin sunscreen amaterasun avoskin mrt dan facewash hadalabo. Kalau pyunkangyul menurutku agak kurang ngehidrasi,Wed Jun 11 11:49:14 +0000 2025
42,x,WTB preloved sunscreen amaterasun serum biru tua dong under 50 ada ngga,Wed Jun 11 10:40:50 +0000 2025
